1,7.769,1.340,1.587,0.986,0.596,0.153,0.393
3,7.554,1.488,1.582,1.028,0.603,0.271,0.341
5,7.488,1.396,1.522,0.999,0.557,0.322,0.298
7,7.343,1.387,1.487,1.009,0.574,0.267,0.373
9,7.278,1.365,1.505,1.039,0.584,0.285,0.308
11,7.228,1.372,1.548,1.036,0.557,0.332,0.290
13,7.139,1.276,1.455,1.029,0.371,0.261,0.082
15,7.054,1.333,1.538,0.996,0.450,0.348,0.278
17,6.985,1.373,1.454,0.987,0.495,0.261,0.265
19,6.892,1.433,1.457,0.874,0.454,0.280,0.128
21,6.825,1.503,1.310,0.825,0.598,0.262,0.182
23,6.595,1.070,1.323,0.861,0.433,0.074,0.073
25,6.446,1.368,1.430,0.914,0.351,0.242,0.097
27,6.436,0.800,1.269,0.746,0.535,0.175,0.078
29,6.374,1.684,1.313,0.871,0.555,0.220,0.167
31,6.321,1.149,1.442,0.910,0.516,0.109,0.054
33,6.293,1.124,1.465,0.891,0.523,0.127,0.150
35,6.253,0.794,1.242,0.789,0.430,0.093,0.074
37,6.199,1.362,1.368,0.871,0.536,0.255,0.110
39,6.192,1.231,1.477,0.713,0.489,0.185,0.016
41,6.174,0.745,1.529,0.756,0.631,0.322,0.240
43,6.125,0.985,1.410,0.841,0.470,0.099,0.034
45,6.105,0.694,1.325,0.835,0.435,0.200,0.127
47,6.086,1.092,1.432,0.881,0.471,0.066,0.050
49,6.046,1.263,1.223,1.042,0.406,0.190,0.041
51,6.021,1.500,1.319,0.808,0.493,0.142,0.097
53,5.940,1.187,1.465,0.812,0.264,0.075,0.064
55,5.893,1.237,1.528,0.874,0.495,0.103,0.161
57,5.888,1.120,1.402,0.798,0.498,0.215,0.060
59,5.860,0.642,1.236,0.828,0.507,0.246,0.078
61,5.779,0.776,1.209,0.706,0.511,0.137,0.064
63,5.743,0.855,1.475,0.777,0.514,0.184,0.080
65,5.697,0.960,1.274,0.854,0.455,0.083,0.027
67,5.653,0.677,0.886,0.535,0.313,0.220,0.098
69,5.631,0.807,1.293,0.657,0.558,0.117,0.107
71,5.529,0.685,1.328,0.739,0.245,0.181,0.000
73,5.523,1.051,1.361,0.871,0.197,0.142,0.080
75,5.432,1.155,1.266,0.914,0.296,0.119,0.022
77,5.425,1.015,1.401,0.779,0.497,0.113,0.101
79,5.373,1.183,1.360,0.808,0.195,0.083,0.106
81,5.323,1.067,1.465,0.789,0.235,0.094,0.142
83,5.285,0.948,1.531,0.667,0.317,0.235,0.038
85,5.265,0.696,1.111,0.245,0.426,0.215,0.041
87,5.247,1.052,1.538,0.657,0.394,0.244,0.028
89,5.208,0.801,0.782,0.782,0.418,0.036,0.076
91,5.197,0.987,1.224,0.815,0.216,0.166,0.027
93,5.191,1.029,1.125,0.893,0.521,0.058,0.100
95,5.082,0.813,1.321,0.604,0.457,0.370,0.167
97,5.011,1.092,1.513,0.815,0.311,0.081,0.004
99,4.944,0.569,0.808,0.232,0.352,0.154,0.090
101,4.906,0.837,1.225,0.815,0.383,0.110,0.130
103,4.812,0.673,0.799,0.508,0.372,0.105,0.093
105,4.796,0.764,1.030,0.551,0.547,0.266,0.164
107,4.719,0.947,0.848,0.874,0.383,0.178,0.027
109,4.700,0.574,1.122,0.637,0.609,0.232,0.062
111,4.681,0.450,1.134,0.571,0.292,0.153,0.072
113,4.639,0.879,1.313,0.477,0.401,0.070,0.056
115,4.587,0.331,1.056,0.380,0.255,0.177,0.113
117,4.548,1.100,0.842,0.785,0.305,0.270,0.125
119,4.519,0.886,0.666,0.752,0.346,0.043,0.164
121,4.509,0.512,0.983,0.581,0.431,0.372,0.053
123,4.466,0.204,0.986,0.390,0.494,0.197,0.138
125,4.456,0.562,0.928,0.723,0.527,0.166,0.143
127,4.418,0.094,1.125,0.357,0.269,0.212,0.053
129,4.374,0.268,0.841,0.242,0.309,0.252,0.045
131,4.360,0.710,1.181,0.555,0.525,0.566,0.172
133,4.332,0.820,1.390,0.739,0.178,0.187,0.010
135,4.212,0.811,1.149,0.000,0.313,0.074,0.135
137,4.166,0.913,1.039,0.644,0.241,0.076,0.067
139,4.085,0.275,0.572,0.410,0.293,0.177,0.085
141,3.975,0.073,0.922,0.443,0.370,0.233,0.033
143,3.933,0.274,0.916,0.555,0.148,0.169,0.041
145,3.775,0.046,0.447,0.380,0.220,0.176,0.180
147,3.597,0.323,0.688,0.449,0.026,0.419,0.110
149,3.462,0.619,0.378,0.440,0.013,0.331,0.141
151,3.380,0.287,1.163,0.463,0.143,0.108,0.077
153,3.231,0.476,0.885,0.499,0.417,0.276,0.147
155,3.083,0.026,0.000,0.105,0.225,0.235,0.035
