2,7.594,1.456,1.582,0.861,0.686,0.286,0.340
5,7.487,1.420,1.549,0.927,0.660,0.256,0.357
8,7.324,1.268,1.601,0.876,0.669,0.365,0.389
11,7.190,1.244,1.433,0.888,0.464,0.262,0.082
14,6.977,1.448,1.583,0.876,0.614,0.307,0.306
17,6.910,1.576,1.520,0.896,0.632,0.196,0.321
20,6.774,2.096,0.776,0.670,0.284,0.186,N/A
23,6.489,1.293,1.466,0.908,0.520,0.098,0.176
26,6.441,1.365,1.436,0.857,0.418,0.151,0.078
29,6.388,1.073,1.468,0.744,0.570,0.062,0.054
32,6.374,1.649,1.303,0.748,0.654,0.256,0.171
35,6.322,1.161,1.258,0.669,0.356,0.311,0.059
38,6.192,1.223,1.492,0.564,0.575,0.171,0.019
41,6.141,0.668,1.319,0.700,0.527,0.208,0.128
44,6.096,0.719,1.584,0.605,0.724,0.328,0.259
47,6.000,1.264,1.501,0.946,0.281,0.137,0.028
50,5.952,1.197,1.527,0.716,0.350,0.026,0.006
53,5.933,1.148,1.454,0.671,0.363,0.092,0.066
56,5.890,0.819,1.493,0.693,0.575,0.096,0.031
59,5.810,1.151,1.479,0.599,0.399,0.065,0.025
62,5.752,0.751,1.223,0.508,0.606,0.141,0.054
65,5.663,0.934,1.249,0.674,0.530,0.092,0.034
68,5.636,1.016,1.533,0.517,0.417,0.199,0.037
71,5.524,0.775,1.312,0.513,0.643,0.120,0.105
74,5.483,1.148,1.380,0.686,0.324,0.106,0.109
77,5.410,1.188,1.429,0.884,0.562,0.055,0.017
80,5.358,0.965,1.179,0.785,0.503,0.214,0.136
83,5.302,0.982,1.441,0.614,0.578,0.120,0.106
86,5.246,0.989,1.142,0.799,0.597,0.029,0.103
89,5.185,0.959,1.239,0.691,0.394,0.173,0.052
92,5.131,0.530,1.416,0.594,0.540,0.281,0.035
95,5.103,0.715,1.365,0.702,0.618,0.177,0.079
98,4.982,0.000,0.712,0.115,0.674,0.238,0.282
101,4.880,0.425,1.228,0.539,0.526,0.302,0.078
104,4.743,0.642,1.217,0.602,0.266,0.086,0.076
107,4.671,0.541,0.872,0.080,0.467,0.146,0.103
110,4.623,0.720,1.034,0.441,0.626,0.230,0.174
113,4.571,0.256,0.813,0.000,0.355,0.238,0.053
116,4.471,0.918,1.314,0.672,0.585,0.307,0.050
119,4.441,0.874,1.281,0.365,0.519,0.051,0.064
122,4.419,0.885,1.025,0.553,0.312,0.092,0.107
125,4.377,0.562,1.047,0.295,0.503,0.221,0.082
128,4.340,0.853,0.592,0.643,0.375,0.038,0.215
131,4.301,0.358,0.907,0.053,0.189,0.181,0.060
134,4.166,0.131,0.867,0.221,0.390,0.175,0.099
137,4.139,0.605,1.240,0.312,0.016,0.134,0.082
140,3.964,0.344,0.792,0.211,0.394,0.185,0.094
143,3.774,0.262,0.908,0.402,0.221,0.155,0.049
146,3.590,1.017,1.174,0.417,0.557,0.042,0.092
149,3.495,0.076,0.858,0.267,0.419,0.206,0.030
152,3.355,0.442,1.073,0.343,0.244,0.083,0.064
155,3.083,0.024,0.000,0.010,0.305,0.218,0.038
